# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
27, 92.27, 1:32.27, 2117.74, 7.53, 2303%, 0, 222976, 0, 0, 124929, 0, 0, 0, 0, 6086, 352, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p27 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.27"
28, 98.08, 1:38.08, 2300.40, 7.44, 2352%, 0, 223136, 0, 0, 125545, 0, 0, 0, 0, 7052, 377, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p28 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.28"
28, 98.10, 1:38.10, 2296.26, 7.45, 2348%, 0, 223136, 0, 0, 125545, 0, 0, 0, 0, 6353, 382, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p28 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.28"
28, 97.77, 1:37.77, 2304.04, 7.48, 2364%, 0, 223136, 0, 0, 125545, 0, 0, 0, 0, 7247, 361, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p28 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.28"
29, 98.40, 1:38.40, 2381.23, 7.38, 2427%, 0, 223168, 0, 0, 126542, 0, 0, 0, 0, 8599, 417, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p29 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.29"
29, 98.81, 1:38.81, 2392.48, 7.40, 2428%, 0, 223168, 0, 0, 126542, 0, 0, 0, 0, 7281, 402, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p29 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.29"
29, 98.14, 1:38.14, 2387.81, 7.42, 2440%, 0, 223168, 0, 0, 126542, 0, 0, 0, 0, 8126, 360, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p29 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.29"
30, 87.62, 1:27.62, 2279.40, 7.69, 2610%, 0, 222976, 0, 0, 127163, 0, 0, 0, 0, 8352, 402, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p30 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.30"
30, 87.12, 1:27.12, 2283.90, 7.59, 2630%, 0, 222976, 0, 0, 127163, 0, 0, 0, 0, 7901, 399, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p30 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.30"
30, 87.75, 1:27.75, 2287.74, 7.80, 2615%, 0, 222976, 0, 0, 127163, 0, 0, 0, 0, 7038, 424, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p30 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.30"
31, 88.70, 1:28.70, 2422.16, 7.94, 2739%, 0, 223200, 0, 0, 127957, 0, 0, 0, 0, 8015, 385, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p31 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.31"
31, 88.41, 1:28.41, 2425.74, 7.83, 2752%, 0, 223200, 0, 0, 127957, 0, 0, 0, 0, 8613, 387, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p31 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.31"
31, 88.77, 1:28.77, 2413.93, 7.66, 2727%, 0, 223200, 0, 0, 127957, 0, 0, 0, 0, 8410, 350, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p31 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.31"
32, 89.37, 1:29.37, 2465.45, 7.96, 2767%, 0, 223248, 0, 0, 128664, 0, 0, 0, 0, 10996, 409, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p32 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.32"
32, 89.15, 1:29.15, 2439.16, 8.02, 2744%, 0, 223248, 0, 0, 128664, 0, 0, 0, 0, 10463, 386, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p32 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.32"
32, 89.23, 1:29.23, 2465.16, 7.84, 2771%, 0, 223248, 0, 0, 128664, 0, 0, 0, 0, 10692, 403, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p32 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.32"
